GeneASymbol	GeneBSymbol
PHLDA1	PRNP
PRNP	TMED2
MED17	PSMA1
FH	PSMD6
PSMD6	TPRKB
RAB1A	TMED10
PIK3CA	RAB28
RAC2	RUNX1
CLDND1	RAD17
RAD17	ZNF780A
ITCH	RAD23B
PNO1	RAD23B
NNMT	RASSF8
RBM12	SRP9
PLS1	RBM47
RHOC	S100A13
EIF2B1	RNF146
ILF2	RNF146
RNF146	SLC38A2
EIF2B1	RPL11
MSH2	RPL11
RPL27A	RPS14
RPL36	RPS5
RPL10A	RPS24
RIMS2	RPS6
ASAP1	RRAGB
RNF11	RYK
DSCR3	SCYL2
KLHL12	15-Sep
SERINC1	SLC38A2
CXCL16	SHROOM3
SLBP	ZNF227
SLC22A13	TAS2R9
SERPINB6	SLC35D2
CAND1	SMAD4
NONO	SMAD4
MXRA7	SNAI2
SNX13	TMEM126B
DLAT	SPTLC1
MED17	SPTLC1
SPTLC1	TWF1
EPB41	STRBP
STRBP	ZNF138
STRBP	ZNF273
TAB2	UBE2H
GPR68	TACR1
NAA38	TAPT1
DSP	TJP1
PSEN1	TM9SF2
RALB	TM9SF2
CXCL16	TMEM30B
RAB11FIP5	TMEM43
CD6	TMPRSS6
INADL	TNK1
SERPINB5	TNK1
TNS4	TTC22
DSTN	TPM1
DDX46	TRA2B
GLUD2	TRIM23
SERPINB5	TSPAN1
RAB11FIP5	TSPAN4
PEX2	UBE2H
B3GNT1	UGP2
FH	UQCRC2
MS4A6A	VWA3A
PRSS23	WWTR1
DLAT	XPO7
POLR2K	XPO7
RBM12	XPO7
HNRNPA1	ZBTB44
FSCN2	ZC3H7B
YAP1	ZDHHC7
ATP8B1	ZFYVE21
UBE2H	ZFYVE21
XRCC5	ZNF207
TRPC7	ZNF385D
HCFC1	ZNF500
C8A	SPTLC3
DAG1	KDELR3
CDH1	ESPN
ATP6V0E1	GLB1
GDI2	RHOA
GDI2	RIOK3
IFNA6	PPP1R3A
DNMT1	ITGB3BP
PLA2G2F	TNP2
PDE12	TRPC7
PVRL2	SSH3
RAD17	TBL1XR1
RAD23B	TMED2
AHNAK	RHOC
RPL30	RPS3
EHF	TACSTD2
STXBP2	SYTL1
RPAP3	USO1
ACAP1	DEF6
ACP1	RAB23
ACP1	ZBTB6
ACVR1	CALU
ADAM9	ANXA4
ADAM9	NPC2
ADAMTS8	APOA2
ADRA1A	TACR1
ADRA1A	THPO
AHNAK2	RIN2
AIMP1	EXOC5
AKR1C2	UGT1A7
ALDH18A1	DNAJB6
ALDH1A3	TINAGL1
ALPK1	CAMKK2
AMZ2	HSPA8
ANAPC10	UGP2
ANKFY1	HSPA8
ANKFY1	SDHC
ANKRD22	SERPINB5
ANP32A	CNOT10
ANP32A	NUP160
ANP32A	ZNF124
ANXA2	CFB
ANXA2	ELOVL1
ANXA2P1	ELOVL1
ANXA2P1	LIMA1
ANXA5	OSMR
ANXA7	PEX13
API5	YAF2
API5	ZFYVE21
API5	ZNF780A
ARF4	ATP6V1C1
ARF4	COPB2
ARF4	LMNA
ARGLU1	FUBP1
ARHGAP19	CORO1A
ARHGAP19	SFPQ
ARID1A	SF1
ATAD5	FANCM
ATAD5	MYBL2
ATAD5	NASP
ATAD5	PNN
ATG5	UBE2H
ATP5C1	NMD3
ATP6V0E1	CSTB
ADAM9	AVPI1
AVPI1	CTSB
B4GALT1	EPAS1
BCAR3	S100A2
BCAR3	SMAD3
BCL9L	IGFBP6
BCLAF1	HNRNPA3
BLMH	XRCC5
BRIP1	FH
BUD13	MCM4
C10orf2	PHB2
ARPC5	C11orf58
C11orf58	CDC5L
C11orf58	DNAJC10
C11orf58	MSH2
C11orf58	NUDT21
C11orf58	PNO1
C11orf58	POLR2K
C11orf58	UGP2
C11orf58	ZNF780A
C11orf73	PIK3CA
C2orf44	NASP
C9orf91	SLC1A4
CALU	MAP1LC3B
CAPN7	MSH6
CAPN7	POGK
ADNP	CAPRIN1
AZIN1	CAPRIN1
CANX	CAPRIN1
CAPRIN1	CUL4B
CAPRIN1	FH
CAPRIN1	GLRX3
CAPRIN1	GLUD2
CAPRIN1	PTGES3
CAPRIN1	UGP2
CAPRIN1	YAF2
CAPRIN1	ZNF780A
CARD10	GPRC5A
CCL19	TSKS
CCNC	HRSP12
CCNC	MRPL3
CCNL1	CNOT8
CCR7	CD52
CD226	THPO
CDA	LAMB3
CDC20	CEP55
CDC20	KIF14
CDC42BPB	ZNF358
CDC42EP1	PRSS23
CDC5L	HNRNPH1
CDC6	PCNA
CDH1	PLXNB1
CDH3	CGN
CDK7	ITCH
CELA2B	GPR32
CGRRF1	PSMD12
CHDH	EPCAM
CHMP1B	UBE2H
CLASP2	CPSF6
CLINT1	RNF146
CMTM4	TMEM144
CNNM4	MARVELD2
CNR2	HIPK4
COL12A1	FSTL1
COMMD10	UCHL5
COPS2	TBL1XR1
CREB3	TPM1
CROCC	DNASE1L2
CROCC	RHOT2
CRTAP	PTRF
CTCF	MATR3
CTSB	LMNA
CTSB	PTPN14
CTTNBP2NL	LARP6
CUL1	TBL1XR1
CXCL2	SDC4
CXXC1	SMARCC2
CYB5R4	TBL1XR1
CYR61	EPAS1
CYTH3	THBS1
CYTH4	TNFAIP8L2
DAG1	SPR
DBF4	USP1
DDX3X	ZNF780A
ARFGEF1	DDX5
DEK	HMGN1
AIP	DHPS
DHX15	MRPL3
DHX15	NDUFAF4
ATAD5	DHX9
CRY2	DIP2A
ATP6V1A	DLAT
CNOT8	DLAT
DLAT	POLR2K
DLD	IARS2
DLG1	GLRX3
DNAH1	NCKAP1L
DLD	DNAJA2
DNAJB4	PTRF
DSCR3	EXOC5
DSP	PRKCZ
CFL2	DZIP1
EEF1E1	TPRKB
EHF	LAMB3
ARHGEF5	ELMO3
EPHA2	PLCD3
EPS8	IL13RA1
ERBB3	HOOK2
DLD	ERLIN1
ERO1L	LAMC2
ACVR1	EXT2
EXT2	RAB11FIP5
EZH1	MAPK8IP3
DSP	F2RL1
F2RL1	ID1
F2RL1	LAMB3
F3	THBS1
ANXA2	FAM114A1
FAM114A1	TMEM184B
FASTKD2	SPTLC1
FBXO3	OCRL
BIRC5	FBXO5
FEZ2	LMNA
FEZF2	TAS2R9
FGFBP1	SCNN1A
FGFBP1	ZNF165
FHL5	GHRHR
FHL5	OPRK1
FLNB	PTPRF
FNTA	TMED2
FOXM1	UBE2C
ACP1	FOXO3
FOXO3	PTPLAD1
FRAT2	RREB1
FUS	HNRNPC
CGN	FXYD3
CCT2	FZD3
FZD3	HSPD1
DCTN1	FZR1
BRIX1	GART
GBF1	MED16
ANXA2	GBP3
DDX51	GCDH
GDE1	TSN
GDE1	UGP2
API5	GDI2
GGA1	XAB2
GIGYF2	MSL2
EHF	GJB2
GJB2	ITGB6
COL6A2	GLIPR1
GNAT1	NRIP2
AIF1	GPR18
CAV2	GPX8
FBXO17	GPX8
GPX8	RIN2
GPX8	RND3
GPX8	SMURF2
GRHL3	SSH3
GRIK1	THPO
GSN	PTRF
GLUD2	GTF2H1
GTSE1	RACGAP1
GYPB	OPRK1
GYPB	RHAG
GYPE	KRT76
ENY2	HAUS1
HBS1L	SRP9
HDAC2	MATR3
HMGB1	HNRNPA2B1
HNRNPC	TBL1XR1
DDX46	HNRNPD
HNRNPA1	HNRNPD
HNRNPF	SLC25A40
C2orf44	HNRNPM
HRSP12	TFB2M
HRSP12	UBXN4
HSD3B2	THPO
C2orf44	HSF2
HSPA4	HSPA8
HTRA1	IGFBP3
HTRA1	KIRREL
IARS2	RNF14
IFFO1	MAP3K3
IFNGR1	SLC38A2
CD109	IGFBP7
IKBIP	TPST1
EPCAM	IL17RB
IL18	SLC16A5
HNRNPH1	ILF3
HBS1L	INTS12
GRHL3	IRF6
EMX1	KCND3
KCND3	MEOX2
KCND3	PPP1R3A
DNAJC10	KIAA1033
KIAA1279	RAB1A
KIAA1522	NR2F6
KIAA1522	TSKU
AURKA	KIF2C
KLF5	PRRG2
KRI1	POGZ
GJB3	KRT16
GPX8	LAMA4
CDC42BPB	LAMB2
LAMB4	TRAT1
LARP6	NMT2
HRSP12	LARP7
LCORL	NAA38
LDB1	PBX2
EHD2	LIF
EXOC5	LMAN1
LMAN1	PIK3CA
LMAN1	RPE
LMAN1	YAF2
DAB2	LOXL2
LOXL2	RAI14
LOXL2	RND3
HOOK2	LRRC1
FETUB	LY6G6D
HNRNPC	MAGOH
MAK16	POLR1B
CREB1	MANEA
HNRNPA2B1	MANEA
HSPA13	MAP1LC3B
MAP2K7	SLC22A8
MAP3K3	ZBTB17
HSPA4	MAP3K7
MAP3K7	POLR3C
EFNA1	MAP7
EXPH5	MAP7
CHDH	MARVELD3
CCNB2	MCM10
HRSP12	MED21
MED4	SRP9
HRSP12	MED7
F11R	MGST2
MPDZ	SDC2
MPZL2	ST6GALNAC1
ILF2	MRFAP1L1
GART	MRPL3
MRPL3	NUS1
EXOC5	MRPL39
MRPL39	NMD3
MRPL42	YBX1
MRPS28	PNO1
MT2A	PLAT
DBF4	MTF2
CCL24	MYH13
ACSM1	MYH2
FETUB	MYH4
EHD2	MYO1C
ADAM9	MYOF
NAA16	ZNF138
CCDC138	NAE1
NARS2	ZNF227
HNRNPA1	NASP
NBEAL2	PPP2R5A
DLAT	NDUFAF4
DLD	NDUFAF4
LYRM7	NDUFAF4
MATR3	NDUFAF4
MRPL3	NDUFAF4
NDUFAF4	TPRKB
MNDA	NEUROG2
NEUROG2	PPP1R3A
NOL11	ZNF670
NOLC1	PHB2
MCM2	NSMCE4A
CD59	NT5E
FH	NUDT21
NUDT21	SCYL2
NUDT21	TMED2
NUDT21	ZNF227
IMPG1	OMD
OR1I1	SLC4A1
HEXB	OSTM1
P4HA2	S100A13
HNRNPC	PAICS
PALLD	TGFB1I1
MATR3	PAPOLG
PARVA	PLOD1
CD79A	PARVG
DDX51	PATZ1
DHX9	PCNA
PDGFC	PLOD2
CRP	PDX1
ATP8B1	PERP
CHAC2	PGAM5
PHF15	TAPBP
PHF7	TACR1
PHLDB1	PTPN14
ARPC5	PIK3CA
PIK3CA	PRPF18
LAMC2	PKP3
MAPK13	PKP3
BMP8A	PLA2G1B
PLK2	RIN2
PLK2	SSH3
MPZL2	PLLP
PLOD3	TMEM43
KIF14	POLA2
POLH	THPO
POLH	TMEM19
CAPN2	PPIC
PPL	TINAGL1
CCDC138	PPP1CC
MYH6	PPP1R3A
PRKCDBP	S100A6
HAT1	PRKDC
PRKRA	SENP2
CATSPERG	PRM2
PRNP	S100A2
PRR14	UBTF
DDR1	PRR5
KRT6B	PRR5
MAPK13	PRR5
PRR5	PTPRF
PRRG2	SSH3
ARPC5	PSMA1
CREB1	PSMA1
POLR2K	PSMA1
PSMA1	PTPLAD1
PSMA1	RARS
PSMA1	UGP2
PSMD12	VAMP3
DNAJA2	PSMD6
MRPL3	PSMD6
PSMD6	UGP2
PTPLA	PTRF
GLUD2	PTPLAD1
PTPLAD1	RPAP3
AP1G2	PTPN6
CFL2	PTRF
MMP14	PTRF
PUM2	ZBTB6
GDE1	RAB1A
IFNGR1	RAB1A
PICALM	RAB1A
CLIP1	RAB5A
PDCD10	RAB5A
MAPRE1	RAD17
PIK3CA	RAD17
RAD17	RBM12
HRSP12	RAD23B
OVOL2	RALGPS1
RBM10	USP22
CCAR1	RBM26
RBM26	ZRANB2
PHF21A	RCOR3
RFNG	ZNF768
LBR	RFXAP
PRPF38A	RFXAP
LGALS3	RHBDF1
RHBDF1	TRIM16L
KLHL12	RHOA
CCAR1	RIF1
CMAS	RNF146
NFYB	RNF146
RNF146	UBC
RNF146	YIPF4
HNRNPA3	RNF219
PUM2	RNF38
RPL36	RPS16
RPL11	RPS24
MYO1E	RRAS2
CAP2	RUSC2
LUC7L3	SAFB
CNNM3	SAFB2
DDIT3	SARS
KHDRBS1	SART3
SBNO1	TARDBP
C1orf172	SCNN1A
RNF39	SCNN1A
PSMD6	SCYL2
SCYL2	SLC25A40
SCYL2	ZNF780A
HNRNPF	SDHB
HSPD1	SDHD
GLUD2	SEC24B
GPRC5A	SEMA3B
GJB2	SEMA4B
SERINC1	UBA6
EPHA2	SERPINB6
GJA8	SF3A2
SFI1	TMEM19
B4GALT1	SH2D4A
LRP10	SIL1
EML4	SKIV2L2
RAB1A	SKP1
ARPC5	SLBP
SLC12A1	SLC13A1
SLC25A32	TFB2M
CCDC88A	SLC35B4
MET	SLC35D2
BACH1	SLC38A2
EXOC5	SMAD4
MDM4	SMARCC1
ADNP	SMC3
PIK3CA	SMC6
CTDSPL2	SMEK1
ATP6V1C1	SNAP23
COPS5	SNX2
DNM1L	SNX2
RAB1A	SNX2
LMNA	SNX33
RHOC	SNX33
KIR2DL1	SOX21
AGER	SPAG8
LILRB5	SPAG8
POU6F2	SPAG8
HSPA8	SPAG9
EPB41	SPAST
C1orf56	SPTLC1
IARS2	SPTLC1
MPZL1	SPTLC1
RIOK3	SPTLC1
SPTLC3	TACR1
PPIH	SS18L2
HRSP12	SSBP1
NMD3	SSBP1
PSMA3	SSBP1
SSBP1	TBL1XR1
ST14	TACSTD2
STARD10	TACSTD2
MDM4	STRBP
STRBP	ZNF92
CAV2	SVIL
ATP6V1C1	TAB2
CUL1	TAB2
MRPL13	TAB2
MSH2	TAB2
RAPSN	TACR1
TACSTD2	TMC5
SDHC	TAF12
TAF5	YEATS4
NASP	TDP1
TAF12	TFCP2
ITGB1	TFPI
PLAT	TGFBI
KIF13A	THBS1
THBS1	TRIM16
SRP9	TIA1
AZIN1	TM9SF2
TM9SF2	UGP2
TBL1XR1	TMCO3
GPR89B	TMED2
HNRNPF	TMEM135
MXRA7	TMEM158
RASSF8	TMEM158
NBL1	TMEM184B
IRF6	TMEM30B
LILRB3	TMPRSS6
ITGAV	TNFAIP1
CDC42EP2	TNFRSF12A
PSMB8	TNIP1
DSG2	TNK1
GOLT1A	TNK1
RPIA	TOP2B
LOXL2	TPM1
SSH3	TRIOBP
RRAS	TRIP6
SEMA4B	TSPAN1
RTP4	UBA7
RNF11	UBE2H
FUS	UBE2N
PRSS23	UBTD1
MGAT2	UGP2
PSMA3	UGP2
DNAJC10	USO1
MSH2	USP1
PYGO2	VAMP3
RAI14	VCL
RIN2	VCL
TWSG1	VCL
AOX1	VEGFC
CRIM1	VEGFC
MYL12B	VPS26A
PHF21A	WDR7
MATR3	WDR76
PEA15	WWTR1
CREB1	XPO7
HSPD1	XPO7
SPTLC1	YIPF4
RAB23	YIPF5
POLH	ZC3H7B
CD151	ZDHHC7
CCNT2	ZMYM2
MTF2	ZNF107
EXOC5	ZNF227
MTF2	ZNF273
SEMG2	ZNF385D
NACA2	ZNF407
SF1	ZNF580
EXOC5	ZNF654
CNOT8	ZNF780A
MSH2	ZNF780A
PSMD10	ZNF780A
AGPAT9	ASPH
ANAPC10	HRSP12
ANKFY1	TFG
BLVRB	SSH3
CA6	CD6
CBLC	HOOK2
CD52	FCER2
CD151	MET
CCNC	SCYL2
CYR61	LIF
CYR61	SLC12A4
EBNA1BP2	HSPA4
CXCL16	EPS8L1
FBXO31	ZNF500
CUEDC1	GNG12
GUCA2B	TCL1A
GEMIN5	IFRD2
DNMT1	KHDRBS1
KIAA1522	PRRG4
AURKB	KIF2C
APOB	PDE6C
HTRA1	PLOD1
MAPRE1	PICALM
B3GNT2	PSEN1
PRRG2	ST14
PRRG2	STARD10
RAD23B	UBC
ARFGEF1	RBM7
KDELR3	RRAS
MSH6	RHOA
PTRF	RHOC
KDELR3	SERTAD1
MRPL13	SDHD
DSPP	TCF21
ESRP2	TMC4
F2RL1	TACSTD2
HNRNPF	TAF12
SH2D3A	TMC4
ST14	SYTL1
SYCP1	TPSAB1
TACSTD2	TSPAN15
FCGR3B	TRPC7
PTK6	TRIM29
RAB25	TRIM29
H3F3C	ZBTB6
MARVELD2	VIPR1
PTPN14	YAP1
CALD1	ZCCHC24
ERN2	ZC3H7B
MEOX2	ZNF407
ACAP1	GIMAP1
ACAP1	MAP4K1
ACAP1	SEMA4A
ACP1	GLUD2
ACP1	LIG4
ACP1	MAPRE1
ACTN1	PROCR
ACTN1	SERPINB6
ADAM9	RAB11FIP5
ADAM9	RHOC
ADAT2	POLR1B
AFAP1	FAM127A
AFAP1	SNX21
AGPAT5	HNRNPA3
AHNAK2	KIRREL
AIM1L	PRRG2
AIMP1	UCHL5
AKAP4	BMP8A
ALDH18A1	TM9SF2
ALPI	ZNF749
ALPK1	KCNJ5
ALPK1	PILRA
ALPK1	ZNF692
ANAPC10	HBS1L
ANKFY1	ARF1
ANKRD22	MAPK13
ANXA1	LMNA
API5	ILF2
APOL3	OAS2
ARFGEF1	ATP5F1
ARFGEF1	GTF3C3
ARHGAP11A	NCAPH
ARHGAP19	LIG1
ARHGAP29	TNFAIP1
ARID1A	CTCF
ARID1B	BPTF
ATAD5	CDC7
ATAD5	FUBP1
ATAD5	SFPQ
ATAD5	SRRT
ATAD5	TOPBP1
ATAD5	WDHD1
ATG2A	ZC3H7B
AVPI1	SGMS2
BAG3	LARP6
BAG3	LMNA
BCAR3	TNFAIP1
BIN2	PILRA
BLK	IKZF1
BMP8A	KCNH6
BRIP1	POLA1
BTBD7	POLH
C10orf35	KIAA0895
C11orf58	HRSP12
C11orf58	MSH6
C19orf66	HLA-E
C4orf21	GEN1
C4orf29	WDR33
C4orf46	HNRNPH1
C6orf25	NMUR1
CABIN1	RARA
CALU	SENP2
CALU	ZCCHC24
CC2D1A	KCNH6
CC2D1A	SFTPB
CCDC130	SMARCC2
CCT8	POLR1B
CD151	MT2A
AHNAK	CDC42EP1
CDC42EP1	TM4SF1
CDC7	HNRNPA1
CDC7	MYBL2
ARHGAP19	CDCA7
CDH1	CRB3
CDH1	EXPH5
CDH1	SH2D3A
CDH2	DPYSL3
CDS1	DMKN
CETN3	CLDND1
CHAF1A	TRMT5
CKAP2	DEK
CLIC3	S100A16
CNOT8	RAB1A
CNR2	PTGIR
COIL	RBM12
CPSF6	HNRNPR
CREB3	CYR61
CREBZF	POU2F1
CRISP1	MSTN
CSNK1G2	SMARCC2
CTCF	NASP
CTDSPL2	SFPQ
CTSD	EPHX1
ANXA2	CTTNBP2NL
CUL1	DCTN4
CUL1	RAB23
CXCR6	P2RX2
CAPN2	CYR61
